,Origin,Destination,COO_COD,dcode,ocode,COO_total,Pct
0,Afghanistan,Pakistan,1392610,PAK,AFG,2624225,0.5306747706465719
1,Afghanistan,Iran (Islamic Rep. of),951142,IRN,AFG,2624225,0.36244681763187225
2,Afghanistan,Germany,104385,DEU,AFG,2624225,0.03977745810667911
3,Afghanistan,Austria,26939,AUT,AFG,2624225,0.010265506959197477
4,Afghanistan,Sweden,25645,SWE,AFG,2624225,0.009772408996941954
5,Afghanistan,Italy,17171,ITA,AFG,2624225,0.006543265154474178
6,Afghanistan,France,13425,FRA,AFG,2624225,0.005115796092179596
7,Afghanistan,Australia,10922,AUS,AFG,2624225,0.004161990682963542
8,Afghanistan,United Kingdom,9858,GBR,AFG,2624225,0.003756537644447408
9,Afghanistan,Switzerland,8151,CHE,AFG,2624225,0.003106059884346807
10,Afghanistan,India,7758,IND,AFG,2624225,0.0029563013842181978
11,Afghanistan,Norway,6490,NOR,AFG,2624225,0.0024731111089940838
12,Afghanistan,Netherlands,6205,NLD,AFG,2624225,0.002364507616534405
13,Afghanistan,Turkey,5603,TUR,AFG,2624225,0.0021351065552686985
14,Afghanistan,Indonesia,5477,IDN,AFG,2624225,0.0020870923796549455
15,Afghanistan,Greece,4751,GRC,AFG,2624225,0.001810439272547133
16,Afghanistan,Canada,3356,CAN,AFG,2624225,0.001278853756823443
17,Afghanistan,Belgium,3201,BEL,AFG,2624225,0.001219788699520811
18,Afghanistan,Denmark,2668,DNK,AFG,2624225,0.0010166811153769209
19,Afghanistan,Finland,2571,FIN,AFG,2624225,0.0009797178214520478
20,Afghanistan,Tajikistan,2516,TJK,AFG,2624225,0.0009587592527317589
21,Afghanistan,Serbia and Kosovo (S/RES/1244 (1999)),2182,SRB,AFG,2624225,0.000831483580866732
22,Afghanistan,United States of America,1564,USA,AFG,2624225,0.0005959854814278501
23,Afghanistan,Hungary,1412,HUN,AFG,2624225,0.0005380636187826883
24,Afghanistan,Ukraine,1410,UKR,AFG,2624225,0.0005373014890110413
25,Afghanistan,Syrian Arab Rep.,1221,SYR,AFG,2624225,0.0004652802255904124
26,Afghanistan,Russian Federation,661,RUS,AFG,2624225,0.0002518838895292896
27,Afghanistan,Azerbaijan,587,AZE,AFG,2624225,0.00022368508797835553
28,Afghanistan,Kazakhstan,561,KAZ,AFG,2624225,0.00021377740094694625
29,Afghanistan,Malaysia,389,MYS,AFG,2624225,0.00014823424058531566
30,Afghanistan,Spain,287,ESP,AFG,2624225,0.00010936562223132545
31,Afghanistan,Slovakia,246,SVK,AFG,2624225,9.374196191256467e-05
32,Afghanistan,Kyrgyzstan,236,KGZ,AFG,2624225,8.993131305433033e-05
33,Afghanistan,Czech Rep.,234,CZE,AFG,2624225,8.916918328268346e-05
34,Afghanistan,Ireland,230,IRL,AFG,2624225,8.764492373938972e-05
35,Afghanistan,Lithuania,212,LTU,AFG,2624225,8.078575579456791e-05
36,Afghanistan,Belarus,209,BLR,AFG,2624225,7.964256113709762e-05
37,Afghanistan,Bulgaria,169,BGR,AFG,2624225,6.439996570416028e-05
38,Afghanistan,Romania,152,ROU,AFG,2624225,5.7921862645161904e-05
39,Afghanistan,Sri Lanka,133,LKA,AFG,2624225,5.0681629814516666e-05
40,Afghanistan,Papua New Guinea,117,PNG,AFG,2624225,4.458459164134173e-05
41,Afghanistan,Brazil,99,BRA,AFG,2624225,3.772542369651992e-05
42,Afghanistan,Poland,99,POL,AFG,2624225,3.772542369651992e-05
43,Afghanistan,Ecuador,94,ECU,AFG,2624225,3.5820099267402755e-05
44,Afghanistan,Thailand,88,THA,AFG,2624225,3.3533709952462154e-05
45,Afghanistan,Nauru,81,NRU,AFG,2624225,3.086625575169812e-05
46,Afghanistan,Latvia,58,LVA,AFG,2624225,2.210176337775915e-05
47,Afghanistan,Nepal,57,NPL,AFG,2624225,2.1720698491935714e-05
48,Afghanistan,Japan,51,JPN,AFG,2624225,1.9434309176995113e-05
49,Afghanistan,Croatia,45,HRV,AFG,2624225,1.714791986205451e-05
50,Afghanistan,Cuba,45,CUB,AFG,2624225,1.714791986205451e-05
51,Afghanistan,Iceland,44,ISL,AFG,2624225,1.6766854976231077e-05
52,Afghanistan,Luxembourg,43,LUX,AFG,2624225,1.6385790090407646e-05
53,Afghanistan,New Zealand,42,NZL,AFG,2624225,1.600472520458421e-05
54,Afghanistan,Slovenia,41,SVN,AFG,2624225,1.5623660318760776e-05
55,Afghanistan,Rep. of Korea,37,KOR,AFG,2624225,1.4099400775467043e-05
56,Afghanistan,Estonia,23,EST,AFG,2624225,8.764492373938973e-06
57,Afghanistan,Lebanon,22,LBN,AFG,2624225,8.383427488115539e-06
58,Afghanistan,Uzbekistan,20,UZB,AFG,2624225,7.621297716468672e-06
59,Afghanistan,Portugal,18,PRT,AFG,2624225,6.859167944821804e-06
60,Afghanistan,Rep. of Moldova,18,MDA,AFG,2624225,6.859167944821804e-06
61,Afghanistan,Egypt,17,EGY,AFG,2624225,6.478103058998371e-06
62,Afghanistan,Turkmenistan,14,TKM,AFG,2624225,5.33490840152807e-06
63,Afghanistan,Chile,13,CHL,AFG,2624225,4.953843515704637e-06
64,Afghanistan,Philippines,13,PHL,AFG,2624225,4.953843515704637e-06
65,Afghanistan,Cyprus,12,CYP,AFG,2624225,4.572778629881203e-06
66,Afghanistan,Iraq,11,IRQ,AFG,2624225,4.191713744057769e-06
67,Afghanistan,Venezuela (Bolivarian Republic of),10,VEN,AFG,2624225,3.810648858234336e-06
68,Afghanistan,China,8,CHN,AFG,2624225,3.0485190865874687e-06
69,Afghanistan,Colombia,8,COL,AFG,2624225,3.0485190865874687e-06
70,Afghanistan,Jordan,8,JOR,AFG,2624225,3.0485190865874687e-06
71,Afghanistan,Kenya,8,KEN,AFG,2624225,3.0485190865874687e-06
72,Afghanistan,Fiji,7,FJI,AFG,2624225,2.667454200764035e-06
73,Afghanistan,Argentina,5,ARG,AFG,2624225,1.905324429117168e-06
74,Afghanistan,Nigeria,5,NGA,AFG,2624225,1.905324429117168e-06
75,Afghanistan,United Arab Emirates,5,ARE,AFG,2624225,1.905324429117168e-06
76,Afghanistan,Afghanistan,0,AFG,AFG,2624225,0.0
77,Afghanistan,Albania,0,ALB,AFG,2624225,0.0
78,Afghanistan,Algeria,0,DZA,AFG,2624225,0.0
79,Afghanistan,Angola,0,AGO,AFG,2624225,0.0
80,Afghanistan,Armenia,0,ARM,AFG,2624225,0.0
81,Afghanistan,Bosnia and Herzegovina,0,BIH,AFG,2624225,0.0
82,Afghanistan,Cayman Islands,0,CYM,AFG,2624225,0.0
83,Afghanistan,Chad,0,TCD,AFG,2624225,0.0
84,Afghanistan,"China, Hong Kong SAR",0,HKG,AFG,2624225,0.0
85,Afghanistan,Costa Rica,0,CRI,AFG,2624225,0.0
86,Afghanistan,Dominican Rep.,0,DOM,AFG,2624225,0.0
87,Afghanistan,Ethiopia,0,ETH,AFG,2624225,0.0
88,Afghanistan,Georgia,0,GEO,AFG,2624225,0.0
89,Afghanistan,Libya,0,LBY,AFG,2624225,0.0
90,Afghanistan,Liechtenstein,0,LIE,AFG,2624225,0.0
91,Afghanistan,Madagascar,0,MDG,AFG,2624225,0.0
92,Afghanistan,Malta,0,MLT,AFG,2624225,0.0
93,Afghanistan,Mauritania,0,MRT,AFG,2624225,0.0
94,Afghanistan,Mexico,0,MEX,AFG,2624225,0.0
95,Afghanistan,Mongolia,0,MNG,AFG,2624225,0.0
96,Afghanistan,Morocco,0,MAR,AFG,2624225,0.0
97,Afghanistan,Panama,0,PAN,AFG,2624225,0.0
98,Afghanistan,Saudi Arabia,0,SAU,AFG,2624225,0.0
99,Afghanistan,Sudan,0,SDN,AFG,2624225,0.0
100,Afghanistan,The former Yugoslav Republic of Macedonia,0,MKD,AFG,2624225,0.0
101,Albania,France,4349,FRA,ALB,12163,0.3575598125462468
102,Albania,United Kingdom,2423,GBR,ALB,12163,0.1992107210392173
103,Albania,United States of America,1527,USA,ALB,12163,0.12554468469949848
104,Albania,Germany,983,DEU,ALB,12163,0.08081887692181206
105,Albania,Canada,853,CAN,ALB,12163,0.07013072432787963
106,Albania,Italy,538,ITA,ALB,12163,0.04423250842719724
107,Albania,Belgium,534,BEL,ALB,12163,0.043903642193537776
108,Albania,Sweden,329,SWE,ALB,12163,0.027049247718490505
109,Albania,Greece,150,GRC,ALB,12163,0.012332483762229713
110,Albania,Austria,88,AUT,ALB,12163,0.007235057140508099
111,Albania,Switzerland,86,CHE,ALB,12163,0.0070706240236783685
112,Albania,Luxembourg,82,LUX,ALB,12163,0.00674175779001891
113,Albania,Ireland,78,IRL,ALB,12163,0.006412891556359451
114,Albania,Australia,59,AUS,ALB,12163,0.00485077694647702
115,Albania,Norway,27,NOR,ALB,12163,0.0022198470772013482
116,Albania,Argentina,18,ARG,ALB,12163,0.0014798980514675656
117,Albania,Mexico,8,MEX,ALB,12163,0.000657732467318918
118,Albania,Netherlands,8,NLD,ALB,12163,0.000657732467318918
119,Albania,Czech Rep.,6,CZE,ALB,12163,0.0004932993504891886
120,Albania,Ecuador,6,ECU,ALB,12163,0.0004932993504891886
121,Albania,Iceland,6,ISL,ALB,12163,0.0004932993504891886
122,Albania,Denmark,5,DNK,ALB,12163,0.0004110827920743238
123,Albania,Brazil,0,BRA,ALB,12163,0.0
124,Albania,Chile,0,CHL,ALB,12163,0.0
125,Albania,Croatia,0,HRV,ALB,12163,0.0
126,Albania,Cyprus,0,CYP,ALB,12163,0.0
127,Albania,Estonia,0,EST,ALB,12163,0.0
128,Albania,Finland,0,FIN,ALB,12163,0.0
129,Albania,Hungary,0,HUN,ALB,12163,0.0
130,Albania,Iraq,0,IRQ,ALB,12163,0.0
131,Albania,Lebanon,0,LBN,ALB,12163,0.0
132,Albania,Liechtenstein,0,LIE,ALB,12163,0.0
133,Albania,Malta,0,MLT,ALB,12163,0.0
134,Albania,New Zealand,0,NZL,ALB,12163,0.0
135,Albania,Portugal,0,PRT,ALB,12163,0.0
136,Albania,Rep. of Korea,0,KOR,ALB,12163,0.0
137,Albania,Romania,0,ROU,ALB,12163,0.0
138,Albania,Slovenia,0,SVN,ALB,12163,0.0
139,Albania,Spain,0,ESP,ALB,12163,0.0
140,Algeria,France,1654,FRA,DZA,3991,0.4144324730643949
141,Algeria,Germany,524,DEU,DZA,3991,0.13129541468303682
142,Algeria,Canada,390,CAN,DZA,3991,0.09771986970684039
143,Algeria,United Kingdom,323,GBR,DZA,3991,0.08093209721874217
144,Algeria,Ireland,189,IRL,DZA,3991,0.04735655224254573
145,Algeria,Italy,186,ITA,DZA,3991,0.04660486093710849
146,Algeria,Switzerland,160,CHE,DZA,3991,0.04009020295665247
147,Algeria,United States of America,131,USA,DZA,3991,0.032823853670759205
148,Algeria,Sweden,66,SWE,DZA,3991,0.016537208719619143
149,Algeria,Greece,62,GRC,DZA,3991,0.015534953645702832
150,Algeria,Belgium,46,BEL,DZA,3991,0.011525933350037584
151,Algeria,Spain,46,ESP,DZA,3991,0.011525933350037584
152,Algeria,Austria,43,AUT,DZA,3991,0.010774242044600351
153,Algeria,Argentina,30,ARG,DZA,3991,0.007516913054372337
154,Algeria,Netherlands,18,NLD,DZA,3991,0.0045101478326234025
155,Algeria,Finland,17,FIN,DZA,3991,0.004259584064144325
156,Algeria,Pakistan,17,PAK,DZA,3991,0.004259584064144325
157,Algeria,Hungary,15,HUN,DZA,3991,0.0037584565271861687
158,Algeria,Norway,12,NOR,DZA,3991,0.003006765221748935
159,Algeria,Australia,10,AUS,DZA,3991,0.0025056376847907794
160,Algeria,Senegal,9,SEN,DZA,3991,0.0022550739163117012
161,Algeria,Cyprus,8,CYP,DZA,3991,0.0020045101478326235
162,Algeria,Brazil,7,BRA,DZA,3991,0.0017539463793535455
163,Algeria,Tunisia,7,TUN,DZA,3991,0.0017539463793535455
164,Algeria,New Zealand,6,NZL,DZA,3991,0.0015033826108744675
165,Algeria,Morocco,5,MAR,DZA,3991,0.0012528188423953897
166,Algeria,Rep. of Korea,5,KOR,DZA,3991,0.0012528188423953897
167,Algeria,Syrian Arab Rep.,5,SYR,DZA,3991,0.0012528188423953897
168,Algeria,Albania,0,ALB,DZA,3991,0.0
169,Algeria,Angola,0,AGO,DZA,3991,0.0
170,Algeria,Bosnia and Herzegovina,0,BIH,DZA,3991,0.0
171,Algeria,Botswana,0,BWA,DZA,3991,0.0
172,Algeria,Bulgaria,0,BGR,DZA,3991,0.0
173,Algeria,Cameroon,0,CMR,DZA,3991,0.0
174,Algeria,Chad,0,TCD,DZA,3991,0.0
175,Algeria,Chile,0,CHL,DZA,3991,0.0
176,Algeria,Congo,0,COG,DZA,3991,0.0
177,Algeria,Croatia,0,HRV,DZA,3991,0.0
178,Algeria,Czech Rep.,0,CZE,DZA,3991,0.0
179,Algeria,CÌ«te d'Ivoire,0,CIV,DZA,3991,0.0
180,Algeria,Denmark,0,DNK,DZA,3991,0.0
181,Algeria,Egypt,0,EGY,DZA,3991,0.0
182,Algeria,El Salvador,0,SLV,DZA,3991,0.0
183,Algeria,Estonia,0,EST,DZA,3991,0.0
184,Algeria,Iceland,0,ISL,DZA,3991,0.0
185,Algeria,Indonesia,0,IDN,DZA,3991,0.0
186,Algeria,Iraq,0,IRQ,DZA,3991,0.0
187,Algeria,Jordan,0,JOR,DZA,3991,0.0
188,Algeria,Lebanon,0,LBN,DZA,3991,0.0
189,Algeria,Lesotho,0,LSO,DZA,3991,0.0
190,Algeria,Liberia,0,LBR,DZA,3991,0.0
191,Algeria,Libya,0,LBY,DZA,3991,0.0
192,Algeria,Liechtenstein,0,LIE,DZA,3991,0.0
193,Algeria,Luxembourg,0,LUX,DZA,3991,0.0
194,Algeria,Malaysia,0,MYS,DZA,3991,0.0
195,Algeria,Malta,0,MLT,DZA,3991,0.0
196,Algeria,Mauritania,0,MRT,DZA,3991,0.0
197,Algeria,Mexico,0,MEX,DZA,3991,0.0
